18:10:22 [INFO] lib.node: Got new task: Grog-Fortress(baac4813-3835-4356-a6f8-e8c220ca5950)
18:10:22 [INFO] lib.op_executor: Running operation Download
18:10:22 [INFO] operations.op_exe: ['/srv/.venv/bin/python', '/srv/sarfis-pro-node/assets/scripts/files/superluminal_download.py', '--bucket-name', 'render-vmgi', '--job-id', 'baac4813-3835-4356-a6f8-e8c220ca5950', '--zip', 'false', '--project-path', 'Conspiracy', '--output', '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/', '--s3-endpoint', 'https://f09fa628d989ddd93cbe3bf7f7935591.r2.cloudflarestorage.com', '--s3-access-key-id', 'e803d1529491d204170e369270c0af9c', '--s3-secret-access-key', 'fda92eaab74efa0b63849f3aaaf66a5850b3c594c941083c6c311269f7ab0049', '--s3-session-token', 'and0L2V5SmhiR2NpT2lKSVV6STFOaUlzSW5SNWNDSTZJa3BYVkNKOS5leUppZFdOclpYUWlPaUp5Wlc1a1pYSXRkbTFuYVNJc0luTmpiM0JsSWpvaWIySnFaV04wTFhKbFlXUXRkM0pwZEdVaUxDSnpkV0lpT2lKbU1EbG1ZVFl5T0dRNU9EbGtaR1E1TTJOaVpUTmlaamRtTnprek5UVTVNU0lzSW1saGRDSTZNVGMzTURnek16TTVOQ3dpYVhOeklqb2laVGd3TTJReE5USTVORGt4WkRJd05ERTNNR1V6TmpreU56QmpNR0ZtT1dNaUxDSmhkV1FpT2lKbU1EbG1ZVFl5T0dRNU9EbGtaR1E1TTJOaVpUTmlaamRtTnprek5UVTVNUzV5TWk1amJHOTFaR1pzWVhKbGMzUnZjbUZuWlM1amIyMGlMQ0psZUhBaU9qRTNOekUwTXpneE9UUjkuQzF2VmduckItUUQyaG1RN2NwMUFacnJkVEc1b09sX3NicUp4VWdBSnN2MA==', '--blender-path', '/blenders/blender-4.4.3-linux-x64/blender']
18:10:22 [INFO] operations.op_exe: > rclone copyto :s3:render-vmgi/Conspiracy/baac4813-3835-4356-a6f8-e8c220ca5950.txt /tmp/baac4813-3835-4356-a6f8-e8c220ca5950.txt --s3-endpoint https://f09fa628d989ddd93cbe3bf7f7935591.r2.cloudflarestorage.com --s3-access-key-id e803d1529491d204170e369270c0af9c --s3-secret-access-key fda92eaab74efa0b63849f3aaaf66a5850b3c594c941083c6c311269f7ab0049 --s3-session-token and0L2V5SmhiR2NpT2lKSVV6STFOaUlzSW5SNWNDSTZJa3BYVkNKOS5leUppZFdOclpYUWlPaUp5Wlc1a1pYSXRkbTFuYVNJc0luTmpiM0JsSWpvaWIySnFaV04wTFhKbFlXUXRkM0pwZEdVaUxDSnpkV0lpT2lKbU1EbG1ZVFl5T0dRNU9EbGtaR1E1TTJOaVpUTmlaamRtTnprek5UVTVNU0lzSW1saGRDSTZNVGMzTURnek16TTVOQ3dpYVhOeklqb2laVGd3TTJReE5USTVORGt4WkRJd05ERTNNR1V6TmpreU56QmpNR0ZtT1dNaUxDSmhkV1FpT2lKbU1EbG1ZVFl5T0dRNU9EbGtaR1E1TTJOaVpUTmlaamRtTnprek5UVTVNUzV5TWk1amJHOTFaR1pzWVhKbGMzUnZjbUZuWlM1amIyMGlMQ0psZUhBaU9qRTNOekUwTXpneE9UUjkuQzF2VmduckItUUQyaG1RN2NwMUFacnJkVEc1b09sX3NicUp4VWdBSnN2MA== --config 
18:10:23 [INFO] operations.op_exe: Command succeeded:
18:10:23 [INFO] operations.op_exe: 
18:10:23 [INFO] operations.op_exe: > rclone copy :s3:render-vmgi/Conspiracy /tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input --files-from /tmp/baac4813-3835-4356-a6f8-e8c220ca5950.txt --s3-endpoint https://f09fa628d989ddd93cbe3bf7f7935591.r2.cloudflarestorage.com --s3-access-key-id e803d1529491d204170e369270c0af9c --s3-secret-access-key fda92eaab74efa0b63849f3aaaf66a5850b3c594c941083c6c311269f7ab0049 --s3-session-token and0L2V5SmhiR2NpT2lKSVV6STFOaUlzSW5SNWNDSTZJa3BYVkNKOS5leUppZFdOclpYUWlPaUp5Wlc1a1pYSXRkbTFuYVNJc0luTmpiM0JsSWpvaWIySnFaV04wTFhKbFlXUXRkM0pwZEdVaUxDSnpkV0lpT2lKbU1EbG1ZVFl5T0dRNU9EbGtaR1E1TTJOaVpUTmlaamRtTnprek5UVTVNU0lzSW1saGRDSTZNVGMzTURnek16TTVOQ3dpYVhOeklqb2laVGd3TTJReE5USTVORGt4WkRJd05ERTNNR1V6TmpreU56QmpNR0ZtT1dNaUxDSmhkV1FpT2lKbU1EbG1ZVFl5T0dRNU9EbGtaR1E1TTJOaVpUTmlaamRtTnprek5UVTVNUzV5TWk1amJHOTFaR1pzWVhKbGMzUnZjbUZuWlM1amIyMGlMQ0psZUhBaU9qRTNOekUwTXpneE9UUjkuQzF2VmduckItUUQyaG1RN2NwMUFacnJkVEc1b09sX3NicUp4VWdBSnN2MA== --progress --config 
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_hand_ik.L' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_hand_ik.R' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_hand_tweak.L' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_hand_tweak.R' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_head' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_hips' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_jaw' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_jaw.L' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_jaw.L.001' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_jaw.R' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_jaw.R.001' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_jaw_master' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_lid.B.L' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_lid.B.L.001' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
18:10:28 [INFO] root: Info: LIB: Object: 'WGT-CC_Gary_rig_lid.B.L.002' missing from '/tmp/baac4813-3835-4356-a6f8-e8c220ca5950/input/Dropbox (Compte personnel)/FREELANCE/WORK/OnePixelBrush/A-Project-OPB-ANIMATION/_CCA_Grog-Conspiracy/Characters/_Crowd/character_crowd_man.blend', parent '<direct>'
